rental_id,item_id,renter_id,start_date,end_date,total_price,status
1,7,36,2025-08-03,2025-08-12,365.58,completed
2,76,188,2025-09-24,2025-10-05,917.51,completed
3,85,20,2025-07-16,2025-07-17,89.53,completed
4,109,162,2025-09-01,2025-09-02,33.38,cancelled_by_owner
5,93,149,2025-05-12,2025-05-19,461.02,completed
6,19,55,2026-02-06,2026-02-07,65.08,cancelled_by_owner
7,116,140,2025-11-30,2025-12-09,1059.12,completed
8,113,199,2025-06-25,2025-06-28,348.03,completed
9,90,58,2025-08-22,2025-09-04,572.13,cancelled_by_owner
10,22,75,2025-05-25,2025-05-28,255.69,completed
11,69,131,2025-05-28,2025-05-30,54.1,completed
12,145,129,2025-12-08,2025-12-09,42.86,completed
13,131,158,2025-08-28,2025-09-08,299.09,completed
14,11,132,2026-02-02,2026-02-05,237.99,completed
15,6,46,2025-06-25,2025-07-05,754.5,cancelled_by_renter
16,87,169,2026-01-10,2026-01-24,1162.14,cancelled_by_renter
17,117,189,2026-04-09,2026-04-21,1327.32,completed
18,90,92,2026-02-23,2026-02-24,44.01,completed
19,55,125,2025-11-14,2025-11-18,65.96,completed
20,18,95,2025-06-16,2025-06-20,146.88,completed
21,63,53,2026-04-11,2026-04-20,672.39,cancelled_by_renter
22,37,93,2025-05-12,2025-05-19,496.58,completed
23,111,117,2025-12-16,2025-12-17,41.81,completed
24,81,167,2025-08-25,2025-08-31,609.72,completed
25,80,134,2025-11-05,2025-11-16,266.75,cancelled_by_owner
26,98,190,2025-11-09,2025-11-14,141.3,cancelled_by_owner
27,30,146,2025-10-25,2025-10-28,107.79,completed
28,51,97,2025-09-16,2025-09-22,532.8,cancelled_by_owner
29,24,20,2025-07-18,2025-07-27,694.35,completed
30,100,58,2025-05-27,2025-06-05,958.05,cancelled_by_owner
31,31,89,2025-08-13,2025-08-21,517.76,completed
32,67,155,2026-04-07,2026-04-08,89.23,cancelled_by_owner
33,101,36,2025-11-09,2025-11-17,404.4,completed
34,85,20,2025-06-20,2025-06-29,805.77,completed
35,146,55,2026-03-22,2026-03-25,195.03,completed
36,101,93,2025-06-01,2025-06-11,505.5,completed
37,39,31,2025-10-10,2025-10-21,899.14,completed
38,30,85,2025-11-14,2025-11-26,431.16,completed
39,55,173,2025-06-05,2025-06-13,131.92,cancelled_by_owner
40,69,152,2025-12-17,2025-12-20,81.15,completed
41,14,106,2026-01-06,2026-01-07,40.12,completed
42,133,33,2026-01-29,2026-02-08,929.4,cancelled_by_owner
43,60,35,2025-05-28,2025-06-08,337.37,completed
44,88,147,2025-07-05,2025-07-08,267.21,completed
45,18,67,2025-07-04,2025-07-07,110.16,cancelled_by_owner
46,62,104,2026-03-18,2026-03-28,623.0,cancelled_by_renter
47,111,164,2025-12-12,2025-12-13,41.81,cancelled_by_owner
48,48,187,2025-09-02,2025-09-13,911.02,completed
49,10,22,2025-06-09,2025-06-13,396.6,completed
50,139,121,2025-08-11,2025-08-25,1366.54,completed
51,11,57,2025-06-22,2025-07-06,1110.62,completed
52,117,37,2025-12-10,2025-12-23,1437.93,completed
53,83,197,2026-02-28,2026-03-03,184.23,completed
54,145,131,2025-10-16,2025-10-21,214.3,completed
55,1,176,2025-12-28,2026-01-03,590.04,cancelled_by_renter
56,128,153,2025-12-25,2026-01-04,645.1,completed
57,101,97,2026-03-10,2026-03-17,353.85,completed
58,134,5,2026-01-02,2026-01-06,318.56,completed
59,130,130,2025-08-03,2025-08-14,636.57,cancelled_by_owner
60,34,39,2026-03-04,2026-03-14,861.2,completed
61,107,122,2025-11-26,2025-12-06,986.0,cancelled_by_owner
62,116,137,2025-10-02,2025-10-11,1059.12,cancelled_by_owner
63,27,24,2025-10-29,2025-11-06,751.68,completed
64,148,155,2026-04-25,2026-05-04,742.95,cancelled_by_owner
65,7,199,2025-10-26,2025-11-06,446.82,completed
66,25,134,2025-08-30,2025-09-06,742.14,completed
67,30,12,2026-04-06,2026-04-18,431.16,completed
68,9,59,2025-12-22,2026-01-04,955.89,completed
69,44,197,2025-10-21,2025-10-28,553.56,completed
70,91,190,2025-09-03,2025-09-16,559.65,cancelled_by_owner
71,70,148,2025-12-14,2025-12-16,45.0,completed
72,50,66,2026-01-03,2026-01-11,584.88,completed
73,125,22,2025-05-30,2025-06-04,267.05,completed
74,69,140,2025-12-30,2026-01-06,189.35,completed
75,44,2,2026-02-18,2026-03-02,948.96,completed
76,104,2,2025-06-15,2025-06-25,396.5,completed
77,36,134,2026-02-27,2026-02-28,104.28,completed
78,57,53,2025-07-27,2025-08-08,1279.68,completed
79,147,105,2026-01-05,2026-01-11,407.4,completed
80,2,110,2025-07-28,2025-08-08,492.8,completed
81,42,67,2025-08-18,2025-09-01,1423.8,cancelled_by_owner
82,87,145,2026-01-18,2026-01-24,498.06,completed
83,28,175,2025-06-08,2025-06-15,119.28,completed
84,83,106,2025-07-07,2025-07-16,552.69,cancelled_by_owner
85,55,124,2025-08-08,2025-08-11,49.47,completed
86,78,143,2025-07-13,2025-07-21,400.0,completed
87,42,79,2025-12-07,2025-12-17,1017.0,completed
88,90,181,2025-06-05,2025-06-12,308.07,completed
89,69,169,2025-07-07,2025-07-09,54.1,cancelled_by_owner
90,143,115,2025-05-08,2025-05-21,345.02,cancelled_by_owner
91,139,42,2025-10-13,2025-10-15,195.22,completed
92,148,103,2025-10-29,2025-11-11,1073.15,completed
93,36,141,2026-01-30,2026-02-09,1042.8,completed
94,131,181,2025-12-24,2025-12-25,27.19,completed
95,54,163,2025-11-05,2025-11-06,102.43,cancelled_by_owner
96,2,38,2025-08-28,2025-09-05,358.4,cancelled_by_renter
97,15,112,2025-05-20,2025-05-22,87.06,completed
98,23,57,2025-08-05,2025-08-11,669.3,completed
99,72,10,2025-08-27,2025-09-08,810.6,completed
100,98,103,2026-02-06,2026-02-16,282.6,completed
101,141,74,2025-08-25,2025-09-06,594.0,cancelled_by_renter
102,5,15,2026-02-04,2026-02-17,1029.34,completed
103,108,164,2026-04-06,2026-04-14,325.12,cancelled_by_owner
104,124,52,2025-10-30,2025-11-13,1625.4,completed
105,27,133,2025-06-04,2025-06-09,469.8,completed
106,32,154,2026-01-29,2026-02-07,377.19,cancelled_by_owner
107,95,60,2025-08-06,2025-08-16,395.2,completed
108,31,10,2026-05-01,2026-05-07,388.32,completed
109,72,1,2025-08-18,2025-08-21,202.65,completed
110,69,71,2026-03-09,2026-03-22,351.65,completed
111,38,172,2026-03-10,2026-03-17,729.47,completed
112,14,52,2026-01-05,2026-01-14,361.08,completed
113,38,181,2025-12-22,2025-12-24,208.42,cancelled_by_renter
114,58,141,2026-01-19,2026-01-24,253.85,completed
115,93,144,2026-03-15,2026-03-25,658.6,completed
116,146,71,2026-05-05,2026-05-09,260.04,completed
117,68,50,2025-07-23,2025-07-31,896.08,cancelled_by_renter
118,150,148,2025-10-19,2025-10-20,48.82,completed
119,30,105,2025-06-21,2025-06-30,323.37,completed
120,130,19,2025-12-04,2025-12-13,520.83,completed
121,29,30,2025-08-02,2025-08-15,1261.39,completed
122,5,66,2026-01-14,2026-01-23,712.62,completed
123,138,148,2025-07-04,2025-07-09,422.95,completed
124,145,97,2026-04-25,2026-05-05,428.6,cancelled_by_owner
125,109,63,2025-08-18,2025-08-31,433.94,completed
126,117,199,2026-03-24,2026-04-01,884.88,completed
127,14,151,2025-07-01,2025-07-15,561.68,completed
128,138,30,2025-06-04,2025-06-09,422.95,completed
129,138,163,2025-05-30,2025-06-12,1099.67,cancelled_by_renter
130,28,174,2025-07-10,2025-07-22,204.48,completed
131,21,81,2026-03-11,2026-03-18,266.28,cancelled_by_renter
