search_id,user_id,search_timestamp,search_query,category_filter,results_count
1,33,2026-05-02 07:39:18,Sigma,Lenses,2
2,141,2026-03-07 23:56:54,Sony,Lenses,10
3,136,2026-03-08 09:49:00,Sony,Lenses,2
4,111,2025-10-31 04:51:58,DJI,Drones,5
5,167,2025-08-26 06:35:46,Fujifilm,Cameras,1
6,59,2025-10-18 18:35:46,Aputure,Lighting,5
7,103,2026-02-02 00:35:03,Nanlite,Lighting,0
8,110,2026-02-15 04:41:01,Sigma,Lenses,1
9,40,2026-03-07 17:20:22,Godox,Lighting,0
10,22,2025-12-09 08:01:01,Autel,Drones,0
11,190,2026-01-19 12:58:06,Canon,Lenses,2
12,151,2026-02-10 11:55:52,Sigma,Lenses,0
13,91,2025-11-12 11:59:13,Nanlite,Lighting,0
14,74,2025-07-06 14:41:30,Sony,Lenses,0
15,130,2025-07-20 05:51:26,Canon,Cameras,2
16,58,2025-08-30 17:23:53,DJI,Drones,5
17,95,2025-07-31 01:00:00,DJI,Drones,2
18,110,2025-05-30 04:59:04,DJI,Drones,0
19,70,2025-12-18 10:13:56,Sony,Lenses,1
20,47,2026-02-17 05:26:54,Fujifilm,Cameras,0
21,190,2025-12-04 01:30:23,DJI,Drones,2
22,56,2025-05-31 04:02:47,Aputure,Lighting,1
23,41,2026-02-21 23:31:06,Sony,Lenses,2
24,199,2025-09-06 06:53:22,DJI,Drones,0
25,194,2025-05-29 16:41:59,DJI,Drones,1
26,170,2025-05-26 23:14:28,Aputure,Lighting,2
27,107,2025-12-20 08:48:38,Canon,Lenses,2
28,30,2025-11-08 15:52:18,Sony,Lenses,0
29,174,2025-11-18 18:47:09,Nanlite,Lighting,2
30,12,2026-04-29 13:11:23,Fujifilm,Cameras,10
31,15,2026-04-03 15:48:22,DJI,Drones,1
32,55,2025-11-29 18:20:06,Blackmagic,Cameras,1
33,31,2025-07-07 15:15:36,Autel,Drones,2
34,45,2025-05-29 14:02:12,Fujifilm,Cameras,2
35,59,2025-11-20 17:11:07,Canon,Lenses,1
36,190,2025-06-07 14:34:25,Autel,Drones,0
37,20,2026-04-03 02:58:06,Sigma,Lenses,1
38,104,2025-07-18 15:53:42,Aputure,Lighting,0
39,6,2025-06-03 02:32:45,Canon,Lenses,5
40,159,2025-12-24 14:00:36,Nanlite,Lighting,5
41,23,2025-06-02 21:19:19,Godox,Lighting,1
42,151,2026-01-24 17:19:04,Nanlite,Lighting,0
43,80,2026-04-07 04:37:04,Canon,Lenses,1
44,44,2025-08-06 20:08:24,DJI,Drones,2
45,50,2025-10-11 07:20:30,Sony,Lenses,2
46,166,2025-06-23 01:18:18,Canon,Cameras,0
47,66,2026-04-18 05:57:36,Canon,Cameras,2
48,195,2025-12-14 17:38:25,DJI,Drones,10
49,161,2025-08-11 02:46:27,Aputure,Lighting,2
50,195,2025-12-18 07:47:51,Nanlite,Lighting,5
51,145,2025-12-24 09:12:03,Sigma,Lenses,1
52,113,2025-05-22 22:17:59,Autel,Drones,1
53,78,2026-01-03 00:56:05,Sigma,Lenses,0
54,130,2025-06-08 08:01:17,DJI,Drones,1
55,10,2025-10-17 07:20:24,DJI,Drones,5
56,20,2026-01-17 19:02:34,Autel,Drones,1
57,142,2025-12-20 04:06:03,Autel,Drones,5
58,147,2025-12-13 00:10:39,Blackmagic,Cameras,2
59,129,2025-11-26 12:34:08,Sony,Cameras,1
60,88,2025-09-07 08:39:41,DJI,Drones,0
61,182,2026-05-05 11:58:28,Aputure,Lighting,2
62,157,2025-08-16 18:23:35,Blackmagic,Cameras,1
63,73,2025-07-25 19:42:52,Aputure,Lighting,2
64,174,2026-01-22 14:10:45,DJI,Drones,0
65,25,2026-02-09 15:16:20,Aputure,Lighting,1
66,169,2025-09-06 12:17:12,Blackmagic,Cameras,0
67,170,2025-08-08 04:35:42,Blackmagic,Cameras,1
68,168,2025-08-18 15:35:15,Godox,Lighting,2
69,22,2025-10-08 04:52:20,Sigma,Lenses,1
70,85,2025-06-27 07:45:17,Sony,Cameras,2
71,109,2026-01-23 08:29:14,Canon,Lenses,1
72,47,2026-01-13 04:23:03,Blackmagic,Cameras,5
73,125,2025-09-01 00:03:22,Canon,Cameras,10
74,40,2025-11-01 01:31:21,DJI,Drones,5
75,26,2025-09-07 06:51:57,DJI,Drones,5
76,159,2026-05-03 06:57:33,Fujifilm,Cameras,0
77,47,2026-02-23 11:45:56,Fujifilm,Cameras,0
78,94,2026-05-05 21:33:23,Fujifilm,Cameras,2
79,193,2025-06-04 16:01:54,Godox,Lighting,2
80,80,2025-05-11 02:42:25,Godox,Lighting,1
81,147,2025-11-01 11:24:41,Aputure,Lighting,2
82,200,2026-01-03 17:30:16,Nanlite,Lighting,2
83,42,2025-12-12 03:21:42,Canon,Cameras,5
84,14,2025-06-15 07:46:25,Aputure,Lighting,2
85,27,2025-06-04 22:43:12,DJI,Drones,0
86,42,2025-12-02 06:59:48,Sony,Lenses,5
87,38,2025-07-29 06:37:22,Godox,Lighting,5
88,57,2025-11-19 23:04:04,Aputure,Lighting,5
89,107,2025-08-18 11:43:40,Autel,Drones,2
90,61,2025-06-27 22:27:55,Godox,Lighting,1
91,8,2026-05-04 22:29:19,Canon,Lenses,5
92,167,2025-09-20 00:52:44,Canon,Lenses,0
93,74,2026-04-14 14:07:48,Nanlite,Lighting,5
94,195,2025-06-03 05:03:44,Aputure,Lighting,2
95,21,2026-04-13 23:16:24,DJI,Drones,1
96,39,2025-08-10 08:46:35,Godox,Lighting,2
97,61,2025-09-28 00:07:22,Canon,Lenses,0
98,108,2025-08-26 04:09:21,Godox,Lighting,0
99,128,2025-07-07 18:11:16,DJI,Drones,2
100,75,2025-10-24 16:03:25,Godox,Lighting,2
101,62,2026-03-27 06:56:49,Godox,Lighting,2
102,22,2025-12-04 11:02:21,Canon,Lenses,10
103,140,2026-02-04 17:20:53,Autel,Drones,5
104,12,2025-09-01 23:32:41,Aputure,Lighting,1
105,5,2025-12-31 01:07:50,Canon,Lenses,1
106,188,2026-03-16 22:35:51,DJI,Drones,0
107,91,2026-01-16 11:22:54,Sigma,Lenses,0
108,200,2025-11-28 21:57:55,Nanlite,Lighting,1
109,47,2025-05-10 12:47:50,Sony,Cameras,2
110,118,2026-01-21 20:49:01,DJI,Drones,1
111,52,2026-03-20 19:50:36,DJI,Drones,5
112,132,2025-12-08 21:08:55,Nanlite,Lighting,1
113,10,2025-08-31 18:17:34,Blackmagic,Cameras,1
114,200,2026-05-04 08:28:35,DJI,Drones,1
115,95,2026-01-20 03:06:42,Aputure,Lighting,2
116,99,2025-06-16 17:22:37,Canon,Lenses,1
117,128,2026-05-07 03:20:33,Sigma,Lenses,1
118,22,2026-04-13 12:37:02,Godox,Lighting,1
119,47,2025-06-28 15:33:53,Sony,Lenses,0
120,84,2025-08-18 04:52:54,Sony,Lenses,1
121,184,2025-06-21 07:45:14,Godox,Lighting,2
122,90,2026-04-18 00:36:15,Godox,Lighting,2
123,91,2025-06-18 01:31:42,Aputure,Lighting,2
124,15,2026-02-19 19:42:21,Autel,Drones,1
125,192,2025-12-08 08:17:56,Sony,Cameras,0
126,156,2025-07-06 20:45:37,Godox,Lighting,0
127,61,2025-08-21 06:21:00,Sony,Lenses,1
128,146,2025-08-24 22:02:22,DJI,Drones,2
129,95,2025-12-28 09:18:12,Sony,Lenses,2
130,147,2025-07-28 07:05:29,Blackmagic,Cameras,1
131,167,2026-02-10 04:30:40,Canon,Lenses,10
132,7,2025-09-17 15:45:24,Fujifilm,Cameras,2
133,144,2025-07-25 13:32:43,DJI,Drones,2
134,181,2026-01-29 11:49:06,Godox,Lighting,10
135,74,2026-01-08 19:24:25,Godox,Lighting,0
136,19,2026-04-03 17:36:16,Godox,Lighting,5
137,114,2025-08-18 00:23:20,DJI,Drones,2
138,182,2025-11-19 18:38:04,DJI,Drones,5
139,41,2025-11-13 05:19:39,Blackmagic,Cameras,2
140,32,2025-08-13 00:30:01,Canon,Cameras,1
141,127,2026-04-24 02:13:42,DJI,Drones,2
142,95,2026-04-25 04:32:11,Nanlite,Lighting,0
143,23,2026-04-01 02:08:20,DJI,Drones,1
144,184,2025-05-27 05:21:39,Nanlite,Lighting,1
145,105,2025-06-12 08:09:53,DJI,Drones,10
146,165,2026-01-08 19:50:25,Autel,Drones,1
147,133,2025-10-18 23:53:35,Canon,Lenses,5
148,200,2026-03-25 13:57:55,Canon,Cameras,1
149,15,2025-08-22 22:43:38,DJI,Drones,1
150,42,2025-05-24 14:47:57,Sigma,Lenses,1
151,133,2025-05-08 20:55:44,Canon,Lenses,1
152,163,2025-09-14 00:51:11,Canon,Lenses,2
153,158,2026-03-02 23:13:58,DJI,Drones,2
154,149,2025-06-27 07:12:30,Canon,Cameras,2
155,185,2026-01-09 22:12:28,Sigma,Lenses,0
156,8,2025-08-17 05:28:51,DJI,Drones,5
157,198,2025-07-09 05:56:02,Sigma,Lenses,1
158,147,2026-02-19 08:39:13,Nanlite,Lighting,2
159,128,2025-10-26 02:05:10,Sigma,Lenses,10
160,124,2025-12-07 17:54:54,Fujifilm,Cameras,1
161,19,2026-02-05 13:10:41,DJI,Drones,1
162,124,2025-10-20 14:12:42,Godox,Lighting,1
163,37,2025-12-11 07:54:42,Sigma,Lenses,1
164,89,2025-05-11 06:00:32,Godox,Lighting,2
